,Asite,Bsite,Type,At2g,Ap,Bt2g,Beg,Bp,Op,Bsite X,Bsite CS,Asite IP,Bsite IP,Asite EA,Bsite EA,Asite s,Asite d,Bsite d,Bsite atomic_radius,Bsite average_ionic_radius,Asite exp_EA,Bsite exp_EA,GM,Asite Z,Work function
103,Li,Ge,A,0.0,0.0,0.9999399999999999,0.99924,5.50064,-1.0852600000000001,2.01,1.92,5.3425,7.4167,0.7046,0.934,0.985,0.0,0.16,1.25,0.77,59.6,119.0,5.68444,3,7.183730000000001
104,Li,Sn,B,0.0,0.0,0.99989,0.99846,5.60222,-0.70055,1.96,1.84,5.3425,6.8885,0.7046,1.0258,0.985,0.0,0.345,1.45,0.83,59.6,107.3,5.608280000000001,3,7.4623
105,Li,Sn,A,0.0,0.0,0.99989,0.99846,5.60222,-0.70055,1.96,1.84,5.3425,6.8885,0.7046,1.0258,0.985,0.0,0.345,1.45,0.83,59.6,107.3,5.608280000000001,3,7.868530000000001
106,Li,Sb,B,0.0,0.0,0.9999100000000001,0.99889,3.44562,-1.41666,2.05,2.08,5.3425,8.3266,0.7046,1.8032,0.985,0.0,0.335,1.45,0.83,59.6,103.2,5.74493,3,5.93565
107,Li,Sb,A,0.0,0.0,0.9999100000000001,0.99889,3.44562,-1.41666,2.05,2.08,5.3425,8.3266,0.7046,1.8032,0.985,0.0,0.335,1.45,0.83,59.6,103.2,5.74493,3,6.780819999999999
108,Na,Sc,B,0.0,-21.45301,0.11892,0.21394000000000002,-24.26459,-0.45771999999999996,1.36,0.74,5.118,6.8245,0.6796,0.0,1.1,0.0,0.31,1.6,0.885,52.8,18.1,5.27401,11,6.5051
109,Na,Sc,A,0.0,-21.45301,0.11892,0.21394000000000002,-24.26459,-0.45771999999999996,1.36,0.74,5.118,6.8245,0.6796,0.0,1.1,0.0,0.31,1.6,0.885,52.8,18.1,5.27401,11,6.3761
110,Na,Ti,B,0.0,-21.293110000000002,0.194,0.2951,-31.63563,-1.0202200000000001,1.54,0.79,5.118,7.2564,0.6796,0.2526,1.1,0.0,0.28,1.4,0.85167,52.8,7.6,5.3083,11,6.817260000000001
111,Na,Ti,A,0.0,-21.293110000000002,0.194,0.2951,-31.63563,-1.0202200000000001,1.54,0.79,5.118,7.2564,0.6796,0.2526,1.1,0.0,0.28,1.4,0.85167,52.8,7.6,5.3083,11,5.70805
112,Na,Zr,B,0.0,-21.784660000000002,0.19275,0.28978000000000004,-23.9508,-0.48262,1.33,0.76,5.118,6.8953,0.6796,0.0,1.1,0.0,0.54,1.55,0.86,52.8,41.1,5.36552,11,6.32627
