,Asite,Bsite,Type,At2g,Ap,Bt2g,Beg,Bp,Op,Bsite CS,Asite IP,Bsite IP,Asite d,Bsite d,Bsite atomic_radius,Asite exp_EA,Bsite exp_EA,GM,Asite Z,Work function
746,Ga,Ge,B,0.99979,4.043819999999998,0.99991,0.99931,3.85425,-2.04438,1.92,5.6565,7.4167,0.17,0.16,1.25,28.9,119.0,5.75446,31,5.14757
748,Sn,Ti,B,0.99982,1.43386,0.18803,0.29515,-33.86819000000001,-2.86438,0.79,6.8885,7.2564,0.345,0.28,1.4,107.3,7.6,5.76342,50,4.66235
750,Ge,Sb,B,0.99996,-0.29705,0.99997,0.99923,0.36588,-3.83392,2.08,7.4167,8.3266,0.16,0.335,1.45,119.0,103.2,6.25349,32,4.56381
752,Ga,In,B,0.99985,4.40883,0.99912,0.98759,6.50365,-0.72245,1.6,5.6565,5.3782,0.17,0.36,1.55,28.9,28.9,5.31772,31,3.53205
754,Ga,Ga,B,0.99978,5.59075,0.99978,0.99984,5.59075,-0.91611,1.68,5.6565,5.6565,0.17,0.17,1.3,28.9,28.9,5.35159,31,4.7356099999999985
755,Ga,Ga,B,0.99978,5.59075,0.99978,0.99984,5.59075,-0.91611,1.68,5.6565,5.6565,0.17,0.17,1.3,28.9,28.9,5.35159,31,4.7356099999999985
758,Ga,Fe,B,0.99984,3.52195,0.75047,0.39775,-53.85188,-2.7505900000000003,0.99,5.6565,8.5601,0.17,0.22,1.4,28.9,15.7,5.61252,31,4.99437
760,Ga,Al,B,0.9997,4.84504,0.0,0.0,9.05816,-1.09916,1.66,5.6565,5.7109,0.17,0.0,1.25,28.9,42.5,5.3615900000000005,31,4.619680000000002
762,Ga,Re,B,0.99986,2.02647,0.57686,0.37908,-43.5547,-4.10685,0.94,5.6565,7.853,0.17,0.565,1.35,28.9,14.5,5.60142,31,3.76729
764,Ga,W,B,0.99984,1.92042,0.42916,0.35977,-39.76121,-4.03495,0.885,5.6565,7.6293,0.17,0.59,1.35,28.9,78.6,5.70352,31,3.03695
766,Ga,Mn,B,0.99984,3.36412,0.61727,0.36522,-49.00384,-2.97234,0.94,5.6565,8.2684,0.17,0.23,1.4,28.9,0.0,5.5152,31,5.4337300000000015
768,Ga,Cr,B,0.99985,3.39786,0.49379,0.36882,-44.14833,-2.94323,0.89,5.6565,6.7401,0.17,0.25,1.4,28.9,64.3,5.5152,31,4.98962
